username, Total frames,processing duration(s), os, jv -v
liban,11477,99,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,170,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,100,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,99,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,98,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,97,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,173,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,226,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,114,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,186,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,99,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,454,Windows 11 10.0,21.0.1
username, Total frames,processing duration(s), os, jv -v
liban,11477,367,Windows 11 10.0,21.0.1
username, Total frames,processing duration(s), os, jv -v
liban,11477,1191,Windows 11 10.0,21.0.1
username, Total frames,processing duration(s), os, jv -v
liban,11477,367,Windows 11 10.0,21.0.1
username, Total frames,processing duration(s), os, jv -v
liban,11477,311,Windows 11 10.0,21.0.1
username, Total frames,processing duration(s), os, jv -v
liban,120,2,Windows 11 10.0,21.0.1
